ID,label,Japanese comment,English comment,not scary,cute,cool,beautiful,not scary eye,not scary flash,cool fur,good cat,not difficult  to identify,nice eye catchlight,beautiful eye color,not dark photo,black fur,green grass,white cat,looking at the camera,not glowing eye,no surrounding unnecessary text,well-resolved fur,blurred background,natural light,soft light
CAT_00-00000006_016,1,怖い。表情もそうだが、強い光のフラッシュが下から当たっていて、影の方向が不自然になっているので余計に怖い。,"Scary. Not just the expression, but the strong flash of light from below and the unnatural direction of the shadow make it even more scary.",1,1,3,1,1,1,4,2,4,2,2,4,5,1,1,5,1,5,3,1,1,1
CAT_00-00000006_022,5,柔らかい光で子猫の柔らかさがよく表現されている。何かを探している表情やポーズも良い,The soft light nicely expresses the softness of the kitten. The expression and pose as if searching for something are also good.,5,5,3,3,5,5,2,5,5,3,2,5,3,2,2,1,5,5,3,3,5,5
CAT_00-00000006_024,4,フラッシュの光がちょっと硬いが、子猫自体は可愛い,"The flash light is a bit harsh, but the kitten itself is cute.",4,5,2,3,2,2,3,4,5,3,2,5,3,1,1,2,5,5,4,1,1,1
CAT_00-00000006_025,5,すこし緑被りしているが、猫に乗った猫というシーンもいいし、この距離でカメラ目線なのもいい。,"It's a bit greenish, but the scene of a cat riding on another cat is good, and it's nice that it's looking at the camera from this distance.",4,3,4,4,4,5,3,4,5,2,2,4,2,4,3,5,5,5,5,4,5,5
CAT_00-00000007_002,2,少し遠い＆模様から顔を識別しにくい,It's a bit far & the face is hard to identify from the pattern.,4,2,2,2,3,5,3,3,3,1,2,4,3,4,1,1,5,5,3,1,5,5
CAT_00-00000007_005,2,黒い模様と瞳が大きくほとんど黒い目なので識別しにくい,"It's hard to identify because of the black pattern and large, almost black eyes.",1,1,4,3,1,3,3,2,4,1,2,5,3,1,3,5,5,5,5,4,3,3
CAT_00-00000007_007,5,かわいい！瞳の色も綺麗。毛並みもよく解像されている。吹き出しは余計だけど、写真にあってはいる。,"Cute! The color of the eyes is also beautiful. The fur is also well-resolved. The speech bubble is unnecessary, but it fits the photo.",5,4,4,5,5,5,4,5,5,5,5,5,3,1,3,1,5,2,4,1,5,3
CAT_00-00000007_013,4,何を考えているのかわからない表情が気になる。被写界深度が浅いので体の毛並みまでボケているのはちょっと勿体無い,The expression that makes you wonder what it's thinking about is intriguing. It's a bit of a waste that the depth of field is shallow and the fur of the body is blurred.,2,4,4,3,2,3,4,4,5,3,2,5,4,1,3,5,5,5,4,3,3,3
CAT_00-00000007_014,2,アップすぎてちょっと怖い。,It's too close up and a bit scary.,2,3,3,2,3,3,3,2,3,5,3,4,3,1,3,5,4,5,5,1,2,4
CAT_00-00000007_022,5,かっこいい。顔は識別できないけど、逆光気味の測光で身体のラインが際立っているのと、空気中にまっている草がかっこいい,"Cool. I can't identify the face, but the silhouette from the backlight and the grass floating in the air look cool.",3,1,5,4,2,5,2,2,3,1,1,3,3,4,1,4,2,5,1,4,5,2
CAT_00-00000008_029,2,背景と同化して識別しづらい,It's hard to identify because it blends in with the background.,2,3,2,2,3,3,2,2,1,4,3,2,5,1,2,2,5,5,2,3,2,2
CAT_00-00000009_004,4,毛並みもよく解像されていて、何かを狙っている感じもストーリー性があってよい。背景もよくボケていて、周辺減光も味があってよい,"The fur is well-resolved, and the feeling of aiming at something has a good sense of story. The background is nicely blurred, and the vignetting adds a nice touch.",4,3,3,3,4,5,3,4,5,4,2,5,3,1,1,1,5,5,4,4,5,5
CAT_00-00000009_005,4,隠れて何かを狙っている感じがストーリー性があってよい。全体的に緑なのも印象が良い,The feeling of hiding and aiming at something has a good sense of story. The overall green is also impressive.,5,4,2,2,3,5,3,3,3,1,1,5,3,4,1,2,5,5,3,1,5,5
CAT_00-00000009_009,2,毛並みはよく改造されていて美しいけど、目が少し怖い。,"The fur is well-transformed and beautiful, but the eyes are a bit scary.",2,2,2,3,2,4,4,2,5,3,5,5,2,1,4,2,4,5,5,4,4,4
CAT_00-00000009_013,4,何かをじっと見ている感じがよい。斜め下から柔らかい自然光で照らされている光の向きが独特だが、余計に想像力を掻き立てる描写になっていてよい。目の色も綺麗。,"The feeling of staring at something is good. The light direction from the soft natural light from below is unique, which further stimulates the imagination and makes for a good depiction. The color of the eyes is also beautiful.",4,2,4,4,3,5,4,4,5,4,5,4,3,1,1,1,5,5,4,1,4,4
CAT_00-00000009_016,2,ポーズが好きじゃない,I don't like the pose.,4,2,2,3,3,5,4,2,5,3,3,5,1,1,5,4,4,5,4,1,5,5
CAT_00-00000009_026,4,何かを影から狙っているのが可愛い。ストーリー性がある,It's cute to see it aiming at something from the shadows. There's a sense of story.,4,4,2,3,4,5,3,4,4,3,3,4,3,1,3,1,5,5,3,4,4,3
CAT_00-00000010_027,2,表情が怖い。フラッシュの光が強すぎる。,The expression is scary. The flash light is too strong.,2,2,4,2,1,2,5,2,5,2,3,5,5,1,1,5,3,5,5,1,1,1
CAT_00-00000010_028,4,少し首を傾げたポーズが可愛い。毛並みもよく解像されており、背景がボケているのも良い。,"The slightly tilted head pose is cute. The fur is well-resolved, and the blurred background is also good.",4,2,5,3,4,4,3,4,4,3,3,4,4,1,1,3,5,5,4,5,4,3
CAT_00-00000010_029,2,目が怖い。フラッシュが強すぎる。,The eyes are scary. The flash is too strong.,2,1,4,4,1,2,4,2,5,1,4,5,3,1,1,5,2,5,3,1,1,1
CAT_00-00000011_003,4,白い雪の中に佇む猫というシチュエーションが良い。,The situation of a cat standing in the white snow is good.,4,1,3,3,2,3,3,3,5,2,3,5,2,1,1,5,2,5,3,2,2,4
CAT_00-00000011_004,4,好奇心旺盛な感じが表現されている。,The feeling of curiosity is well-expressed.,3,4,2,2,3,3,3,4,5,5,3,4,4,1,2,3,3,5,4,1,1,1
CAT_00-00000011_007,4,猫と同じ目線で撮っているのが良い。猫の表情もポーズによくあっている。,It's good that it was taken from the same perspective as the cat. The cat's expression matches the pose well.,4,4,4,4,3,5,3,5,5,4,4,5,3,1,1,5,5,5,4,3,4,4
CAT_00-00000011_010,4,草陰に潜んで何かを狙っている感じがする,It feels like it's lurking in the grass and aiming at something.,3,1,4,3,3,5,2,3,4,3,3,5,4,4,3,4,2,5,4,3,5,3
CAT_00-00000011_014,2,目が光って勿体無い,It's a pity that the eyes are glowing.,1,1,3,3,1,2,3,1,5,1,3,5,3,1,1,5,1,5,3,1,1,1
CAT_00-00000011_017,4,キリリとした良い表情。毛並みもよく解像されている,A sharp and good expression. The fur is also well-resolved.,3,1,5,3,3,4,3,4,5,5,4,5,4,1,2,4,4,5,5,4,1,2
CAT_00-00000011_020,4,何かに集中している表情が良い。背景のボケも程よい,The expression of being focused on something is good. The blurred background is also moderate.,4,4,3,3,4,4,3,4,5,3,3,4,3,3,2,2,5,5,4,4,4,3
CAT_00-00000011_025,4,何かを狙っている様子を猫と同じ目線から撮っているのがよい,"It's good that it was taken from the same perspective as the cat, who seems to be aiming at something.",3,2,2,2,4,5,2,2,3,2,2,4,3,3,3,2,5,5,3,3,5,3
CAT_00-00000011_027,2,目が怖い,The eyes are scary.,2,1,3,3,1,5,3,2,5,1,3,5,1,1,4,5,5,5,3,1,5,1
CAT_00-00000013_009,2,目が識別しづらい。写真全体が色かぶりしている,It's hard to identify the eyes. The entire photo has a color overlap.,4,3,3,3,5,5,2,2,2,1,1,2,4,1,1,5,5,5,2,1,2,4
CAT_00-00000013_011,4,丸い目が可愛い。,Round eyes are cute.,4,4,3,4,5,5,3,4,5,4,4,5,2,1,4,2,5,5,4,4,2,4
CAT_00-00000013_017,2,水平が取れていないのが違和感,The absence of a horizontal line feels unnatural.,2,2,2,2,2,5,2,2,2,1,3,5,4,1,2,5,5,5,3,1,3,2
CAT_00-00000013_021,4,かっこいい。毛並みもよく解像されており、煽り気味なアングルもよい。背景もよくボケている。,"Cool. The fur is well-resolved, and the provocative angle is also good. The background is also nicely blurred.",4,1,5,4,3,5,3,5,5,2,3,5,3,1,2,2,4,5,4,4,3,5
CAT_00-00000013_022,4,表情が瞬間を切り取っている感じがして良い。毛並みもよく解像されており、煽り気味なアングルもよい。背景もよくボケている。,"The expression feels like it's capturing a moment, which is good. The fur is well-resolved, and the provocative angle is also good. The background is also nicely blurred.",4,3,4,4,5,5,3,5,5,1,1,5,3,1,2,1,5,5,4,4,3,5
CAT_00-00000013_025,2,表情がつまらなそう,The expression looks boring.,3,1,3,2,2,5,3,2,5,1,1,5,1,1,1,4,5,5,3,1,5,5
CAT_00-00000013_029,4,そろりと移動しようとしている瞬間を切り取った感じがストーリー性があって良い。毛もよく解像しており、表情もいい。自然光の光も綺麗。,"The moment of slowly trying to move has a good sense of story. The fur is also well-resolved, and the expression is good. The natural light is also beautiful.",3,4,4,4,2,4,3,5,5,4,4,5,3,1,3,2,4,5,4,4,4,4
CAT_00-00000014_001,2,表情にピントがあっていない気がする,I feel that the focus is not on the expression.,3,2,2,3,2,5,3,3,5,2,3,5,3,1,3,3,5,5,4,2,5,4
CAT_00-00000014_003,2,顔の模様が気になる,I'm curious about the pattern on the face.,4,2,2,2,3,4,3,2,5,2,3,4,2,1,4,5,5,5,3,1,2,2
CAT_00-00000015_000,4,一瞬識別しにくいけど、物陰から様子を窺っている感じが可愛い。ストーリー性を感じる。,"It's hard to identify for a moment, but it's cute to feel it peeping from behind something. It gives a sense of story.",3,3,4,3,2,5,3,4,5,2,3,4,3,1,2,5,4,5,3,2,4,3
CAT_00-00000015_013,2,ちゃんと解像しているのは良いが、ぱっと見で猫の顔以外が識別しにくい。,"It's good that it's well-resolved, but at first glance, it's hard to identify anything other than the cat's face.",4,4,3,3,4,5,3,3,2,3,3,5,3,3,3,3,4,5,4,1,5,3
CAT_00-00000015_016,2,猫と背景が識別しにくい,It's hard to differentiate the cat from the background.,2,2,4,3,2,2,4,3,2,2,4,5,5,1,1,5,3,5,3,1,1,1
CAT_00-00000015_018,2,猫の顔がもっとちゃんとわかる方がよい,It would be better if the cat's face was more clearly understood.,2,2,3,3,2,5,2,2,4,2,2,3,5,1,1,5,3,5,3,1,4,4
CAT_00-00000015_019,2,目が光ってしまっている,The eyes are glowing.,1,1,3,2,1,2,3,1,5,1,2,5,5,1,1,5,1,5,3,1,1,1
CAT_00-00000015_020,4,怠惰な感じが出てて良い。,The lazy feel is good.,5,4,2,3,4,5,3,4,5,1,2,4,3,2,1,2,5,5,3,1,5,4
CAT_00-00000015_026,2,フラッシュが強すぎる。,The flash is too strong.,3,3,2,2,3,3,3,2,2,2,3,4,3,1,1,2,4,5,2,1,1,1
CAT_00-00000015_028,1,ぬいぐるみが好きじゃない。猫の顔も模様と光と表情が相まって認識しづらい,"I don't like stuffed animals. It's hard to recognize the cat's face because of the combination of patterns, light, and expression.",3,2,3,2,3,4,3,3,2,1,1,2,4,1,2,1,5,5,3,3,4,3
CAT_00-00000015_029,4,緑の背景に白の猫がよく映えている。意気揚々と歩いているかんじも良い。,The white cat stands out well against the green background. The feeling of walking proudly is also good.,4,4,4,4,3,5,4,5,5,2,3,5,1,5,5,2,4,5,3,2,5,2
CAT_00-00000016_013,5,子猫の可愛さがよく表現されている。猫自体も可愛いし、背景の色も子猫によくあっている。,"The cuteness of the kitten is well expressed. The cat itself is cute, and the color of the background also matches the kitten well.",5,5,2,3,5,5,3,4,5,4,3,5,3,1,1,2,4,5,3,3,3,4
CAT_00-00000016_018,2,目がまんまるなのは面白いが、背景と画角がもう少し違うとよかった。文字もいらない。,"It's interesting that the eyes are round, but it would have been better if the background and the angle of view were a bit different. Text is also unnecessary.",2,2,2,2,2,3,3,2,4,2,3,5,4,1,3,2,4,2,3,1,1,1
CAT_00-00000016_019,2,逆光で目に光がなくて怖い,It's scary that there's no light in the eyes because of the backlight.,2,2,2,2,2,5,2,2,5,1,2,2,1,1,4,5,5,2,3,1,5,2
CAT_00-00000016_022,5,可愛い。測光で片方の目にアイキャッチがベストポジションに入っているのがより可愛さを際立たせいている。毛並みもよく解像されている。,Cute. The fact that one eye is in the best position for an eye-catch in photometry makes it stand out even cuter. The fur is also well-resolved.,5,5,3,4,5,5,3,4,5,5,3,3,3,1,1,5,5,5,4,4,5,5
CAT_00-00000017_000,4,黒猫なので白黒写真がよく映える。毛並みを表現するために背景が白飛びするくらい明るくしているが、それも猫に視線を集中させられていて良い。,"The black and white photo looks good because it's a black cat. The background is made bright enough to be blown out to represent the fur, but that also helps focus the gaze on the cat, which is good.",3,2,5,4,3,3,4,4,3,2,3,4,5,1,1,2,4,5,5,2,2,2
CAT_00-00000017_001,2,水平が取れていないので不安になる。,I feel uneasy because it's not level.,4,2,2,2,4,4,3,2,5,1,1,5,1,1,5,5,5,5,3,1,2,4
CAT_00-00000017_002,2,人が写っていると視線が散らばって猫に集中できない,I can't focus on the cat because the gaze is scattered when people are in the picture.,4,4,3,3,5,5,3,5,5,5,4,5,1,1,5,5,5,5,3,1,2,2
CAT_00-00000017_003,2,模様が好みじゃない,I don't like the pattern.,2,2,2,2,2,3,2,2,2,3,3,5,4,5,2,5,4,5,4,4,3,3
CAT_00-00000017_007,4,かっこいい。黒猫かダークグレーの毛並みが測光気味の光でよく認識できる解像感がよい。,Cool. The resolution that allows you to recognize the fur of a black cat or dark grey cat well with the light that seems to be photometric is good.,5,4,5,5,5,4,5,4,5,5,4,5,5,1,1,5,5,5,5,1,2,4
CAT_00-00000017_008,4,光の柔らかさと猫の表情が気持ちよさそう。,The softness of the light and the expression of the cat seem comfortable.,5,5,2,3,5,5,3,5,3,1,1,4,3,2,1,1,5,5,3,2,5,2
CAT_00-00000017_019,4,猫にピントが合ってて背景がボケているのがよい。毛並みもよく解像されている。,It's good that the focus is on the cat and the background is blurred. The fur is also well-resolved.,3,3,3,3,2,5,3,4,4,1,2,4,3,3,1,5,5,5,4,4,5,2
CAT_00-00000017_020,5,猫の顔にピンとが合っていて、それ以外はボケているので、視点が猫の顔に集中しやすく見やすい。,"The focus is on the cat's face and everything else is blurred, making it easy to focus on the cat's face and easy to see.",5,4,2,4,3,5,3,5,5,1,2,5,3,1,1,4,5,5,4,5,5,3
CAT_00-00000018_029,2,表情があまり可愛くない。周りの枠や文字も不要,The expression is not very cute. The surrounding frame and text are also unnecessary.,3,2,2,3,2,5,3,2,5,1,2,5,3,1,3,4,5,1,4,1,5,5
CAT_00-00000019_004,4,驚いていそうな表情が瞬間をよく切り取れている。ポーズは至って普通だが、目だけでストーリー性を感じる。,"The surprised expression captures the moment well. The pose is quite normal, but I can feel a story just from the eyes.",2,2,2,2,1,3,3,5,5,5,4,5,3,1,1,2,4,5,4,5,2,3
CAT_00-00000019_015,2,目の色と口と表情が怖い,"The color of the eyes, the mouth, and the expression are scary.",1,1,3,3,2,2,3,2,5,5,3,5,3,1,1,5,5,5,4,3,1,1
CAT_00-00000019_020,2,模様と左からのオレンジの光が相まって少し見づらい＆怖い,The pattern and the orange light from the left make it a little hard to see and scary.,2,2,4,2,2,5,2,2,2,3,3,3,4,1,1,2,4,5,3,1,5,4
CAT_00-00000019_025,4,逆光気味で身体のラインが光っていて神々しい,"The body lines are glowing in a backlit manner, which is divine.",4,3,4,4,4,4,5,4,5,4,3,4,1,1,5,1,5,5,4,4,2,3
CAT_00-00000019_026,2,顔が怖い。陰影がはっきりしすぎている,The face is scary. The shading is too clear.,3,2,4,3,2,2,2,3,4,3,1,2,1,1,5,1,5,5,2,4,1,1
CAT_00-00000019_027,4,かくれんぼしてそうなのが可愛い,It's cute that it seems to be playing hide and seek.,5,5,1,3,3,5,3,5,4,3,3,5,3,1,1,5,5,5,3,4,5,5
CAT_00-00000020_001,4,怒られてしょんぼりしていそうなストーリー性を感じる,I feel a storyline of it being scolded and looking dejected.,5,5,3,3,4,5,3,5,5,5,4,5,3,2,3,2,5,5,4,4,5,5
CAT_00-00000020_005,2,ピンボケしている感じがする,It feels out of focus.,2,2,2,2,2,5,2,2,2,1,1,3,3,1,3,5,5,5,1,5,4,4
CAT_00-00000020_006,2,目が光ってて怖い。フラッシュが強すぎる,The glowing eyes are scary. The flash is too strong.,1,1,3,2,1,1,3,1,5,2,2,5,3,4,2,5,1,5,3,1,1,1
CAT_00-00000020_015,2,目にピンとがあっていないように感じる,It feels like the focus isn't on the eyes.,4,3,3,2,4,5,4,5,3,4,3,4,1,1,5,5,5,5,1,2,5,5
CAT_00-00000020_018,4,毛の解像感すごい。目は怖いけど、なんかかっこよさになっている感じがする。,"The resolution of the fur is amazing. The eyes are scary, but they somehow seem cool.",3,1,5,4,2,5,3,5,5,2,3,5,4,3,2,5,5,5,5,5,5,5
CAT_00-00000021_008,4,顔立ちが整ってて目の色も綺麗,The face is well-proportioned and the eye color is beautiful.,1,4,4,4,5,5,3,5,5,5,5,5,4,1,2,5,5,2,4,1,5,4
CAT_00-00000021_018,2,表情が識別しづらい,The expression is hard to distinguish.,2,2,4,2,2,4,3,2,2,4,4,2,5,1,1,5,5,5,2,3,2,2
CAT_00-00000022_005,2,表情が可愛くない。測光が少し強すぎて白飛びしている感じがする,The expression is not cute. It feels like the photometry is a bit too strong and it's blowing out the whites.,2,1,1,2,2,4,2,2,2,3,3,5,2,1,2,5,4,5,2,1,4,3
CAT_00-00000022_010,4,表情は識別できないけど、黄昏ている感じがよい。猫にピントが合っていて背景がボケているのも良い。,"I can't identify the expression, but the twilight feel is good. It's also good that the cat is in focus and the background is blurred.",5,3,3,5,5,5,3,4,5,1,3,5,3,1,2,1,5,5,3,5,5,2
CAT_00-00000022_021,2,フラッシュが強すぎる。模様も相まって表情が識別しにくい,The flash is too strong. The pattern also makes it hard to identify the expression.,2,1,1,1,3,2,2,2,2,1,1,3,4,1,2,5,2,5,3,3,1,1
CAT_00-00000022_024,4,良い表情。舌舐めずりしている感じが獲物を狙っている感あって良い,"Good expression. The feeling of licking its lips gives the impression that it's targeting prey, which is good.",3,3,4,2,3,3,3,5,2,3,3,3,4,1,2,5,5,5,3,3,1,1
CAT_00-00000022_028,4,何かを訴えかける表情がストーリー性があってよい。目にアイキャッチが入っているのも良い,An expression that appeals to something has a good storyline. It's also good that there's an eye-catch in the eyes.,5,4,3,3,5,5,3,4,5,5,3,4,3,1,1,2,4,5,3,5,3,4
CAT_00-00000023_001,2,表情が可愛くない。フラッシュの光が人工的な印象を与える,The expression is not cute. The light of the flash gives an artificial impression.,1,1,1,2,1,3,3,1,5,1,3,5,2,1,4,4,5,5,4,1,1,3
CAT_00-00000023_007,4,目がクリクリしていて、体勢も甘えている感じが可愛い。,The twinkling eyes and the posture that seems to be asking for pampering are cute.,5,5,4,4,5,5,4,5,5,4,3,5,3,2,1,5,5,5,4,3,5,5
CAT_00-00000023_020,2,フラッシュが強すぎる。表情も不機嫌そう。,The flash is too strong. The expression also looks unhappy.,2,2,2,2,2,2,3,2,5,5,3,5,3,1,1,5,5,5,5,2,1,1
CAT_00-00000024_000,2,模様も相まって表情が識別しづらい,The pattern also makes it hard to distinguish the expression.,2,1,1,1,2,3,2,1,2,2,2,5,3,1,3,2,4,5,3,2,1,2
CAT_00-00000024_001,2,目が赤くてちょっと怖い,The eyes are red and a little scary.,1,2,2,2,1,2,3,2,4,5,2,5,2,1,4,5,5,5,3,1,1,1
CAT_00-00000024_012,5,顔にだけピントを合わせて他をボケさせることでうとうとしていて眠そうな瞬間を表現していてよい,"It's good that by focusing only on the face and blurring everything else, it expresses a moment where it seems to be dozing off and looks sleepy.",5,5,4,4,5,5,4,5,5,1,1,5,3,1,2,1,5,5,4,5,5,2
CAT_00-00000024_018,4,白黒でぱっと見わかりづらいが、猫にピントがあっていて毛並みまでよく解像されていてよい。,"It's difficult to tell at first glance because it's in black and white, but it's good that the cat is in focus and the fur is well resolved.",4,2,4,3,3,5,3,3,3,1,1,4,4,1,1,1,5,5,4,5,5,4
CAT_00-00000024_024,2,目が怖い,The eyes are scary.,1,2,3,2,1,3,3,1,5,3,3,5,4,1,1,5,2,5,4,5,1,3
CAT_00-00000025_013,4,黄昏ている表情が良い。自然光の当たり具合もちょうどいい,The twilight expression is good. The natural lighting is just right.,5,4,4,4,5,5,4,5,5,5,5,4,3,1,1,2,5,5,4,4,5,2
CAT_00-00000025_015,2,表情が怖い。フラッシュの光が硬すぎる,The expression is scary. The flash light is too harsh.,2,3,4,3,1,1,3,2,5,4,4,5,3,1,1,2,5,5,4,3,1,1
CAT_00-00000025_018,2,表情が怖い,The expression is scary.,2,2,3,2,1,4,4,2,5,2,2,5,1,1,5,4,4,5,4,3,3,3
CAT_00-00000025_022,2,フラッシュの光が強すぎる。目が光っていて怖い,The flash light is too strong. The eyes are glowing and it's scary.,2,2,4,3,2,2,3,2,4,2,3,5,3,3,1,5,2,5,4,1,1,1
CAT_00-00000026_009,2,猫のポーズが少し中途半端な感じがする,The pose of the cat feels a bit incomplete.,4,3,2,2,4,3,3,2,3,2,2,5,1,1,4,1,5,5,3,1,1,1
CAT_00-00000026_011,2,ぱっと見で猫の表情が識別しづらい,It's difficult to identify the expression of the cat at first glance.,4,2,2,2,5,3,3,2,2,1,1,5,1,1,2,1,5,5,3,1,2,2
CAT_00-00000026_015,2, 表情がちょっと不機嫌そう。,The expression looks a little unhappy.,2,2,4,3,2,5,3,2,4,2,3,3,3,1,3,4,5,5,3,1,5,1
CAT_00-00000026_016,2,目だけ光ってて怖い。表情が識別できない,Only the eyes are glowing and it's scary. The expression cannot be identified.,2,2,4,3,1,5,4,2,2,1,3,5,5,4,1,3,1,5,3,1,5,1
CAT_00-00000026_024,2,フラッシュの光が強すぎる。,The flash light is too strong.,2,2,4,3,3,1,3,3,5,5,3,5,3,1,3,5,5,5,3,1,1,1
CAT_00-00000026_026,4,何かを訝しんでいる表情が可愛い。目の色も綺麗。,The expression of being puzzled is cute. The eye color is beautiful.,4,2,4,3,3,4,3,5,5,5,4,5,3,1,1,5,5,5,4,5,3,3
